year,exporter,importer,trade_category,key_goods,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct,trade_active,supply_chain_integrated,concentration_risk
2000,Australia,China,commodities,"iron ore,coal,LNG",23.18,,2.5,1,0,0.158
2001,Australia,China,commodities,"iron ore,coal,LNG",26.71,15.23,2.5,1,0,0.404
2002,Australia,China,commodities,"iron ore,coal,LNG",26.44,-1.01,2.5,1,0,0.537
2003,Australia,China,commodities,"iron ore,coal,LNG",27.68,4.69,2.5,1,0,0.381
2004,Australia,China,commodities,"iron ore,coal,LNG",29.89,7.98,2.5,1,0,0.363
2005,Australia,China,commodities,"iron ore,coal,LNG",33.07,10.64,2.5,1,0,0.441
2006,Australia,China,commodities,"iron ore,coal,LNG",34.46,4.2,2.5,1,0,0.42
2007,Australia,China,commodities,"iron ore,coal,LNG",33.43,-2.99,2.5,1,0,0.486
2008,Australia,China,commodities,"iron ore,coal,LNG",35.4,5.89,2.5,1,0,0.337
2009,Australia,China,commodities,"iron ore,coal,LNG",32.05,-9.46,2.5,1,0,0.392
2010,Australia,China,commodities,"iron ore,coal,LNG",36.23,13.04,2.5,1,0,0.331
2011,Australia,China,commodities,"iron ore,coal,LNG",39.41,8.78,2.5,1,0,0.195
2012,Australia,China,commodities,"iron ore,coal,LNG",36.93,-6.29,2.5,1,0,0.216
2013,Australia,China,commodities,"iron ore,coal,LNG",37.95,2.76,2.5,1,0,0.263
2014,Australia,China,commodities,"iron ore,coal,LNG",36.99,-2.53,2.5,1,0,0.191
2015,Australia,China,commodities,"iron ore,coal,LNG",38.89,5.14,2.5,1,0,0.359
2016,Australia,China,commodities,"iron ore,coal,LNG",37.14,-4.5,2.5,1,0,0.449
2017,Australia,China,commodities,"iron ore,coal,LNG",35.13,-5.41,2.5,1,0,0.276
2018,Australia,China,commodities,"iron ore,coal,LNG",37.19,5.86,2.5,1,0,0.139
2019,Australia,China,commodities,"iron ore,coal,LNG",34.57,-7.04,2.5,1,0,0.251
2020,Australia,China,commodities,"iron ore,coal,LNG",32.47,-6.07,2.5,1,0,0.309
2021,Australia,China,commodities,"iron ore,coal,LNG",40.73,25.44,2.5,1,0,0.44
2022,Australia,China,commodities,"iron ore,coal,LNG",42.89,5.3,2.5,1,0,0.347
2023,Australia,China,commodities,"iron ore,coal,LNG",40.14,-6.41,2.5,1,0,0.347
2024,Australia,China,commodities,"iron ore,coal,LNG",40.41,0.67,2.5,1,0,0.398
2000,Bangladesh,EU,textiles,"garments,knitwear",9.48,,2.5,1,0,0.522
2001,Bangladesh,EU,textiles,"garments,knitwear",9.28,-2.11,2.5,1,0,0.393
2002,Bangladesh,EU,textiles,"garments,knitwear",10.44,12.5,2.5,1,0,0.334
